iter	Passed	Remaining
396	7065	10731
397	7081	10711
398	7096	10689
399	7111	10666
400	7128	10647
401	7144	10627
402	7161	10609
403	7179	10591
404	7196	10571
405	7212	10551
406	7227	10529
407	7242	10508
408	7256	10486
409	7273	10466
410	7290	10447
411	7304	10424
412	7315	10398
413	7329	10374
414	7343	10351
415	7362	10335
416	7379	10317
417	7396	10298
418	7413	10279
419	7430	10260
420	7445	10239
421	7459	10216
422	7475	10196
423	7490	10175
424	7504	10152
425	7517	10129
426	7533	10109
427	7544	10082
428	7558	10060
429	7576	10043
430	7592	10023
431	7607	10002
432	7621	9980
433	7635	9957
434	7648	9934
435	7659	9907
436	7674	9887
437	7690	9867
438	7706	9848
439	7719	9824
440	7733	9803
441	7747	9780
442	7758	9754
443	7773	9733
444	7793	9719
445	7807	9697
446	7823	9678
447	7838	9657
448	7852	9635
449	7867	9615
450	7881	9594
451	7895	9572
452	7911	9553
453	7924	9530
454	7938	9508
455	7952	9487
456	7966	9465
457	7981	9445
458	7999	9428
459	8016	9410
460	8034	9393
461	8048	9372
462	8064	9353
463	8082	9336
464	8100	9319
465	8116	9301
466	8132	9282
467	8148	9263
468	8165	9245
469	8182	9227
470	8198	9208
471	8219	9194
472	8233	9173
473	8248	9153
474	8263	9133
475	8279	9114
476	8294	9094
477	8310	9076
478	8329	9060
479	8348	9044
480	8363	9023
481	8377	9003
482	8394	8985
483	8414	8970
484	8432	8953
485	8446	8933
486	8461	8913
487	8477	8894
488	8493	8875
489	8508	8855
490	8522	8834
491	8535	8813
492	8547	8790
493	8561	8769
494	8575	8748
495	8589	8728
496	8603	8707
497	8616	8685
498	8632	8667
499	8647	8647
500	8666	8632
501	8683	8614
502	8700	8596
503	8715	8576
504	8738	8565
505	8752	8544
506	8765	8522
507	8778	8502
508	8792	8481
509	8808	8463
510	8825	8445
511	8844	8429
512	8863	8414
513	8879	8396
514	8895	8377
515	8911	8359
516	8929	8342
517	8944	8322
518	8962	8306
519	8979	8289
520	8998	8273
521	9016	8256
522	9035	8241
523	9060	8230
524	9084	8219
525	9105	8205
526	9127	8192
527	9147	8176
528	9165	8160
529	9184	8144
530	9203	8128
531	9225	8115
532	9245	8100
533	9268	8088
534	9293	8077
535	9314	8063
536	9333	8047
537	9356	8034
538	9378	8021
539	9401	8008
540	9427	7998
541	9448	7983
542	9470	7970
543	9497	7960
544	9520	7948
545	9542	7934
546	9564	7920
547	9586	7907
548	9607	7892
549	9628	7877
550	9653	7866
551	9675	7852
552	9704	7843
553	9728	7831
554	9753	7820
555	9772	7803
556	9794	7789
557	9819	7778
558	9846	7767
559	9869	7754
560	9891	7740
561	9916	7728
562	9962	7733
563	9993	7725
564	10016	7711
565	10038	7697
566	10061	7683
567	10082	7668
568	10107	7656
569	10132	7643
570	10156	7630
571	10180	7617
572	10202	7603
573	10224	7588
574	10250	7576
575	10271	7561
576	10295	7547
577	10319	7533
578	10345	7522
579	10370	7509
580	10394	7495
581	10420	7484
582	10447	7472
583	10474	7461
584	10500	7449
585	10524	7435
586	10547	7421
587	10576	7410
588	10602	7398
589	10626	7384
590	10651	7371
591	10675	7357
592	10701	7344
593	10729	7333
594	10756	7321
595	10784	7310
596	10813	7299
597	10838	7285
598	10861	7271
599	10887	7258
600	10912	7244
601	10935	7229
602	10960	7216
603	10984	7201
604	11009	7188
605	11034	7174
606	11056	7158
607	11082	7145
608	11105	7129
609	11127	7114
610	11151	7099
611	11174	7084
612	11200	7070
613	11225	7057
614	11253	7044
615	11279	7031
616	11310	7020
617	11338	7008
618	11361	6992
619	11387	6979
620	11414	6966
621	11443	6954
622	11471	6942
623	11496	6927
624	11518	6911
625	11541	6895
626	11563	6879
627	11584	6862
628	11607	6846
629	11636	6834
630	11660	6818
631	11682	6802
632	11704	6785
633	11730	6771
634	11751	6755
635	11775	6739
636	11797	6722
637	11823	6708
638	11847	6693
639	11874	6679
640	11902	6666
641	11927	6651
642	11953	6636
643	11975	6620
644	11996	6602
645	12017	6585
646	12041	6569
647	12062	6552
648	12085	6536
649	12115	6523
650	12139	6508
651	12161	6490
652	12185	6475
653	12208	6458
654	12230	6442
655	12254	6426
656	12282	6412
657	12304	6395
658	12333	6381
659	12356	6365
660	12384	6351
661	12406	6334
662	12434	6320
663	12456	6303
664	12481	6287
665	12503	6270
666	12533	6257
667	12555	6240
668	12581	6224
669	12606	6209
670	12629	6192
671	12654	6176
672	12679	6160
673	12703	6144
674	12730	6129
675	12759	6115
676	12783	6099
677	12808	6083
678	12829	6065
679	12849	6046
680	12874	6030
681	12895	6012
682	12920	5996
683	12944	5980
684	12973	5966
685	12995	5948
686	13017	5930
687	13039	5913
688	13063	5896
689	13089	5880
690	13115	5864
691	13142	5849
692	13170	5834
693	13196	5818
694	13219	5801
695	13244	5784
696	13269	5768
697	13291	5750
698	13318	5735
699	13343	5718
700	13370	5702
701	13394	5686
702	13424	5671
703	13448	5654
704	13472	5637
705	13497	5620
706	13519	5603
707	13541	5584
708	13565	5567
709	13590	5551
710	13614	5533
711	13640	5517
712	13666	5501
713	13689	5483
714	13715	5467
715	13736	5448
716	13759	5430
717	13781	5412
718	13805	5395
719	13831	5378
720	13859	5363
721	13883	5345
722	13914	5330
723	13936	5312
724	13960	5295
725	13982	5277
726	14009	5260
727	14033	5243
728	14058	5225
729	14083	5208
730	14109	5192
731	14131	5173
732	14154	5155
733	14176	5137
734	14197	5118
735	14220	5100
736	14245	5083
737	14268	5065
738	14291	5047
739	14323	5032
740	14350	5015
741	14375	4998
742	14402	4981
743	14429	4964
744	14455	4947
745	14478	4929
746	14506	4913
747	14537	4897
748	14563	4880
749	14587	4862
750	14608	4843
751	14630	4825
752	14651	4806
753	14672	4787
754	14696	4769
755	14721	4751
756	14754	4736
757	14781	4719
758	14803	4700
759	14828	4682
760	14853	4664
761	14885	4649
762	14915	4633
763	14949	4617
764	14984	4603
765	15008	4584
766	15027	4565
767	15048	4546
768	15073	4527
769	15094	4508
770	15115	4489
771	15134	4469
772	15160	4451
773	15185	4433
774	15213	4416
775	15231	4396
776	15255	4378
777	15280	4360
778	15308	4342
779	15339	4326
780	15362	4307
781	15392	4291
782	15413	4271
783	15436	4252
784	15456	4233
785	15477	4213
786	15501	4195
787	15524	4176
788	15546	4157
789	15569	4138
790	15593	4120
791	15616	4101
792	15638	4082
793	15660	4063
794	15685	4044
795	15710	4026
796	15732	4007
797	15756	3988
798	15776	3968
799	15801	3950
800	15826	3931
801	15850	3913
802	15871	3893
803	15893	3874
804	15913	3854
805	15935	3835
806	15958	3816
807	15979	3797
808	15997	3776
809	16020	3757
810	16049	3740
811	16070	3720
812	16091	3701
813	16112	3681
814	16137	3663
815	16160	3644
816	16184	3625
817	16208	3606
818	16231	3587
819	16259	3569
820	16285	3550
821	16307	3531
822	16328	3511
823	16349	3492
824	16372	3472
825	16393	3453
826	16414	3433
827	16439	3414
828	16463	3396
829	16485	3376
830	16508	3357
831	16529	3337
832	16554	3318
833	16576	3299
834	16597	3279
835	16620	3260
836	16642	3241
837	16666	3221
838	16695	3203
839	16718	3184
840	16739	3164
841	16764	3145
842	16785	3126
843	16806	3106
844	16830	3087
845	16852	3067
846	16874	3048
847	16897	3028
848	16921	3009
849	16946	2990
850	16967	2970
851	16987	2950
852	17006	2930
853	17027	2911
854	17048	2891
855	17070	2871
856	17093	2852
857	17115	2832
858	17140	2813
859	17170	2795
860	17194	2775
861	17219	2756
862	17242	2737
863	17263	2717
864	17285	2697
865	17310	2678
866	17338	2659
867	17363	2640
868	17381	2620
869	17404	2600
870	17427	2581
871	17446	2561
872	17469	2541
873	17492	2521
874	17514	2502
875	17537	2482
876	17558	2462
877	17582	2443
878	17605	2423
879	17626	2403
880	17646	2383
881	17666	2363
882	17687	2343
883	17709	2323
884	17735	2304
885	17757	2284
886	17778	2264
887	17809	2246
888	17835	2226
889	17856	2207
890	17875	2186
891	17897	2166
892	17917	2146
893	17938	2126
894	17958	2106
895	17980	2086
896	18001	2067
897	18027	2047
898	18052	2028
899	18070	2007
900	18094	1988
901	18116	1968
902	18140	1948
903	18161	1928
904	18183	1908
905	18203	1888
906	18229	1869
907	18254	1849
908	18276	1829
909	18298	1809
910	18318	1789
911	18339	1769
912	18360	1749
913	18381	1729
914	18406	1709
915	18427	1689
916	18451	1670
917	18478	1650
918	18499	1630
919	18522	1610
920	18545	1590
921	18564	1570
922	18587	1550
923	18606	1530
924	18628	1510
925	18648	1490
926	18670	1470
927	18696	1450
928	18723	1430
929	18746	1411
930	18771	1391
931	18796	1371
932	18820	1351
933	18842	1331
934	18860	1311
935	18882	1291
936	18910	1271
937	18933	1251
938	18954	1231
939	18975	1211
940	18999	1191
941	19020	1171
942	19040	1150
943	19058	1130
944	19080	1110
945	19106	1090
946	19152	1071
947	19173	1051
948	19194	1031
949	19216	1011
950	19240	991
951	19263	971
952	19290	951
953	19317	931
954	19348	911
955	19369	891
956	19393	871
957	19415	851
958	19440	831
959	19459	810
960	19479	790
961	19499	770
962	19525	750
963	19548	730
964	19572	709
965	19592	689
966	19614	669
967	19636	649
968	19658	628
969	19679	608
970	19701	588
971	19724	568
972	19743	547
973	19776	527
974	19794	507
975	19814	487
976	19834	466
977	19854	446
978	19875	426
979	19898	406
980	19920	385
981	19939	365
982	19967	345
983	19989	325
984	20010	304
985	20027	284
986	20048	264
987	20069	243
988	20094	223
989	20114	203
990	20133	182
991	20161	162
992	20186	142
993	20210	121
994	20231	101
995	20253	81
996	20278	61
997	20300	40
998	20323	20
999	20342	0
